name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
Guitar Hero II,PS2,2006,Misc,3.81,0.63,0.0,0.68,92.0,85.0,T,5.12,Playstation,Home console,teen
Guitar Hero II,X360,2007,Misc,2.01,0.02,0.0,0.17,92.0,81.0,T,2.1999999999999997,Xbox,Home console,teen
Guitar Hero III: Legends of Rock,PC,2007,Misc,0.02,0.0,0.0,0.0,79.0,72.0,T,0.02,PC,Home console,teen
Guitar Hero III: Legends of Rock,PS2,2007,Misc,3.49,0.01,0.01,1.48,82.0,82.0,T,4.99,Playstation,Home console,teen
Guitar Hero III: Legends of Rock,PS3,2007,Misc,1.4,0.53,0.02,0.3,83.0,78.0,T,2.25,Playstation,Home console,teen
Guitar Hero III: Legends of Rock,Wii,2007,Misc,3.04,1.11,0.0,0.43,86.0,84.0,T,4.58,Nintendo,Home console,teen
Guitar Hero III: Legends of Rock,X360,2007,Misc,3.19,0.91,0.01,0.42,85.0,79.0,T,4.529999999999999,Xbox,Home console,teen
Guitar Hero Live,PS3,2015,Misc,0.11,0.12,0.0,0.04,73.0,51.0,T,0.26999999999999996,Playstation,Home console,teen
Guitar Hero Live,PS4,2015,Misc,0.34,0.38,0.0,0.14,80.0,62.0,T,0.86,Playstation,Home console,teen
Guitar Hero Live,WiiU,2015,Misc,0.12,0.05,0.0,0.02,84.0,61.0,T,0.18999999999999997,Nintendo,Home console,teen
Guitar Hero Live,X360,2015,Misc,0.13,0.08,0.0,0.02,71.0,55.0,T,0.23,Xbox,Home console,teen
Guitar Hero Live,XOne,2015,Misc,0.3,0.2,0.0,0.05,81.0,51.0,T,0.55,Xbox,Home console,teen
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,0.13,0.2,0.0,0.04,70.0,63.0,E10+,0.37,Nintendo,Portable console,everyone 10 and older
Guitar Hero: Aerosmith,PS2,2008,Misc,0.61,0.0,0.0,0.18,71.0,63.0,T,0.79,Playstation,Home console,teen
Guitar Hero: Aerosmith,PS3,2008,Misc,0.73,0.15,0.0,0.11,70.0,50.0,T,0.99,Playstation,Home console,teen
Guitar Hero: Aerosmith,Wii,2008,Misc,1.03,0.14,0.0,0.1,73.0,72.0,T,1.27,Nintendo,Home console,teen
Guitar Hero: Aerosmith,X360,2008,Misc,1.0,0.13,0.0,0.1,70.0,67.0,T,1.23,Xbox,Home console,teen
Guitar Hero: Metallica,PS2,2009,Misc,0.17,0.13,0.0,0.04,70.0,76.0,T,0.34,Playstation,Home console,teen
Guitar Hero: Metallica,PS3,2009,Misc,0.28,0.24,0.0,0.1,86.0,80.0,T,0.62,Playstation,Home console,teen
Guitar Hero: Metallica,Wii,2009,Misc,0.4,0.43,0.0,0.1,85.0,86.0,T,0.93,Nintendo,Home console,teen
